guuid,Ampicillin_lower,Ampicillin_upper,Gentamicin_lower,Gentamicin_upper,Ceftriaxone_lower,Ceftriaxone_upper,cefuroxime_lower,cefuroxime_upper,Cephalexin_lower,Cephalexin_upper,cefepime_lower,cefepime_upper,Ciprofloxacin_lower,Ciprofloxacin_upper,levofloxacin_lower,levofloxacin_upper,Cipro2_lower,Cipro2_upper,Cotrim_lower,Cotrim_upper,piptaz_lower,piptaz_upper,Coamox_lower,Coamox_upper
000774a6-5784-466e-8cb7-caa111dcafc5,3,6,2,5,-4,-1,2,3,2,3,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,4,5
004b50ed-f91a-4330-84aa-1f4e7d624b61,-2,1,-3,0,-4,-1,-2,1,-1,2,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,-2,1
00a6bb9a-799b-43d6-823a-4651c0452a2f,2,3,-3,0,-4,-1,1,2,4,7,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,3,4
00077730-0fe4-454a-b554-b23c9f51a808,-2,1,-3,0,-3,0,-2,1,NA,NA,-3,-0,-3,-2,-4,-1,-5,-2,-3,0,-1,2,-2,1
00c42c76-25b6-47ce-afb5-45d18a118d9d,-2,1,-3,0,-4,-1,-2,1,NA,NA,-3,-0,-6,-3,-4,-1,-5,-2,-3,0,-1,2,1,2
0013e2ce-394b-4fc5-a356-abadd635fa00,-2,1,-3,0,-4,-1,-2,1,2,3,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,1,2
00e99f5e-902c-4842-b464-4cdaa4f98fbb,3,6,2,5,2,5,3,6,4,7,4,7,0,3,1,4,0,3,2,5,-1,2,3,4
00fbeece-3ed6-4f06-9022-99230eec44eb,3,6,-3,0,-4,-1,1,2,-1,2,-3,-0,0,3,1,4,0,3,2,5,-1,2,4,5
00decd65-8e22-4c8b-94ae-6d5791fa6310,3,6,-3,0,-4,-1,-2,1,-1,2,-3,-0,-6,-2,-4,-1,-5,-2,2,5,-1,2,2,3
01188b97-1bf2-4496-b1cc-c555c46d983e,3,6,-3,0,-4,-1,1,2,NA,NA,-3,-0,-6,-3,-4,-1,-5,-2,2,5,-1,2,2,3
00f9ff36-dcc6-453b-be28-04a53e482160,3,6,-3,0,-4,-1,1,2,2,3,-3,-0,-6,-2,-4,-1,-5,-2,2,5,-1,2,2,3
014b68b8-c04b-41a7-92ea-5e323ef8cdf0,3,6,-3,0,-4,-1,1,2,-1,2,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,4,5
0152fff8-5a8e-4031-8634-81b08a4b5c85,3,6,-3,0,-3,0,1,2,NA,NA,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,2,3
018c6588-369f-4255-94ff-8bd39097e8d5,3,6,2,5,2,5,3,6,4,7,0,1,0,3,1,4,0,3,0,1,-1,2,5,8
01901f28-93c3-44ab-a176-539ae8cefcaa,3,6,0,1,-4,-1,1,2,2,3,-3,-0,-6,-2,-4,-1,-5,-2,2,5,-1,2,5,8
017afe18-d9bd-43d3-bbff-23dd548792d7,-2,1,-3,0,-4,-1,-2,1,-1,2,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,-2,1
0197f047-b777-4d40-81dd-e8f03f3aad47,-2,1,-3,0,-4,-1,1,2,-1,2,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,1,2
01b94355-c95d-40e9-8853-27d8a5971e15,-2,1,-3,0,-4,-1,2,3,NA,NA,-3,-0,-6,-3,-4,-1,-5,-2,-3,0,-1,2,1,2
01d87d2d-4c54-4201-a82a-b9510936c3e9,3,6,-3,0,-4,-1,1,2,2,3,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,1,2
01e2e374-6a95-44ed-9ff4-186e343197a1,3,6,0,1,-4,-1,3,6,4,7,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,3,4,5,8
0233ca07-2f55-4d5c-9187-8af851e62dcb,3,6,-3,0,2,5,3,6,NA,NA,0,1,0,3,1,4,0,3,-3,0,-1,2,2,3
01d34baf-18a8-4195-9931-68b6c4053b22,-2,1,-3,0,-3,0,-2,1,NA,NA,-3,-0,-6,-3,-4,-1,-5,-2,-3,0,-1,2,1,2
024d720b-7bf8-4524-bdd6-e9033cb3e91e,3,6,-3,0,-3,0,-2,1,NA,NA,-3,-0,-6,-3,-4,-1,-5,-2,2,5,-1,2,2,3
0240c711-0a61-4183-b31d-5309ad54e969,3,6,-3,0,2,5,3,6,4,7,4,7,-6,-2,-4,-1,-5,-2,2,5,6,9,5,8
02bd8907-b922-442a-ba82-dfe722f0ede5,-2,1,-3,0,-4,-1,1,2,NA,NA,-3,-0,-6,-3,-4,-1,-5,-2,-3,0,-1,2,1,2
02cb1371-8085-46c0-af8d-075dacbdd5a9,3,6,-3,0,-4,-1,2,3,3,4,-3,-0,0,3,1,4,0,3,2,5,6,9,5,8
0262b07d-945e-41e5-81ed-6efc8ffca6b9,-2,1,-3,0,-4,-1,-2,1,NA,NA,-3,-0,-6,-3,-4,-1,-5,-2,-3,0,-1,2,1,2
02c5f878-2e1c-4c6b-9083-da0c252f82f0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02745057-7b57-442c-88d1-c4eab6209542,3,6,-3,0,-4,-1,2,3,2,3,-3,-0,-2,-1,-1,0,-2,-1,-3,0,-1,2,5,8
02f7df04-03d7-4300-8748-6edb30cf2f5c,-2,1,-3,0,-4,-1,1,2,2,3,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,2,3
034e9bd8-d506-41a9-915e-0dc27757ede4,3,6,0,1,-4,-1,1,2,-1,2,-3,-0,-6,-2,-4,-1,-5,-2,2,5,-1,2,2,3
03485d1b-abb5-46e2-925a-7ce11061405d,3,6,2,5,2,5,3,6,4,7,2,3,0,3,1,4,0,3,-3,0,-1,2,4,5
03684e44-0db7-4f51-a5f1-11801e845e37,3,6,-3,0,-4,-1,-2,1,-1,2,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,3,4
034e77f6-e525-42a6-a3fe-c86854b0622f,3,6,-3,0,-4,-1,1,2,2,3,-3,-0,-6,-2,-4,-1,-5,-2,2,5,-1,2,2,3
0376f914-d57d-42ee-bfe5-e92a95f03873,-2,1,-3,0,-3,0,1,2,NA,NA,-3,-0,-6,-3,-4,-1,-5,-2,-3,0,-1,2,1,2
03ce4471-c2a1-4b74-9e9c-a86d8f846c4b,3,6,-3,0,-4,-1,1,2,2,3,-3,-0,-6,-2,-4,-1,-5,-2,0,1,-1,2,5,8
03970aee-42a6-4a6b-9a30-ca460636e2e1,3,6,-3,0,2,5,3,6,4,7,4,7,-2,-1,-4,-1,-2,-1,2,5,-1,2,4,5
0404accc-0e81-4ace-907f-bd965e5e7cf1,3,6,-3,0,-4,-1,1,2,-1,2,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,3,4
0423bff2-e91c-4e91-82b1-2943e681de2f,-2,1,-3,0,-4,-1,1,2,-1,2,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,5,8
040574aa-6068-475c-8d6d-3f1687eb77c7,3,6,-3,0,-4,-1,1,2,NA,NA,-3,-0,-6,-3,-4,-1,-5,-2,-3,0,-1,2,3,8
0427d9d9-0483-47be-884d-7ec408034770,-2,1,-3,0,-4,-1,-2,1,-1,2,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,1,2
043f73be-81d4-462b-b6fa-decd9d675e45,1,2,-3,0,-4,-1,1,2,2,3,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,2,3
045cf886-9e90-49e2-9575-f1ad18c1e1fd,3,6,-3,0,-4,-1,-2,1,-1,2,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,1,2
049eb92c-325c-4429-bfef-00e562c3661c,1,2,-3,0,-3,0,1,2,NA,NA,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,1,2
0483d4c0-a16e-44e8-974c-f5e17c11d45a,-2,1,-3,0,-4,-1,1,2,2,3,-3,-0,-2,-1,-4,-1,-2,-1,-3,0,-1,2,1,2
0513f9ac-3a30-418f-afb2-47c75c76a6dc,-2,1,-3,0,-4,-1,1,2,NA,NA,-3,-0,-6,-3,-4,-1,-5,-2,2,5,-1,2,1,2
04b6c506-98f4-4dec-89a8-c78aa7b6d9fd,-2,1,-3,0,-4,-1,1,2,2,3,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,1,2
04a23b73-077a-4500-8542-539ecb50bad3,-2,1,-3,0,-3,0,-2,1,NA,NA,-3,-0,-6,-3,-4,-1,-5,-2,2,5,-1,2,1,2
051b3597-7cae-4853-b2ee-e3e1b12eb588,-2,1,-3,0,-4,-1,1,2,-1,2,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,1,2
0585084c-cca9-4ac6-8e73-c290e6a94493,-2,1,0,1,-4,-1,1,2,2,3,-3,-0,-6,-2,-4,-1,-5,-2,-3,0,-1,2,1,2
05afd765-8069-453e-a218-aa73b10ae80e,3,6,0,1,2,5,3,6,4,7,1,2,0,3,1,4,0,3,-3,0,-1,2,5,8
