guuid	spec	mlst
02f7df04-03d7-4300-8748-6edb30cf2f5c	ecoli	88
00f9ff36-dcc6-453b-be28-04a53e482160	ecoli	155
01822ce6-6d77-435b-944a-3b45418c034d	ecoli	131
000774a6-5784-466e-8cb7-caa111dcafc5	ecoli	131
00fbeece-3ed6-4f06-9022-99230eec44eb	ecoli	-
014b68b8-c04b-41a7-92ea-5e323ef8cdf0	ecoli	95
00decd65-8e22-4c8b-94ae-6d5791fa6310	ecoli	58
00e99f5e-902c-4842-b464-4cdaa4f98fbb	ecoli	1193
01d87d2d-4c54-4201-a82a-b9510936c3e9	ecoli	538
01f86c32-2970-480a-b1d6-cae6b80922b1	ecoli	357
00f30e5f-45b7-4dcd-85d4-622b54803b97	ecoli	131
0233ca07-2f55-4d5c-9187-8af851e62dcb	ecoli	131
00734a71-979c-4518-bec7-9cb9e2ad164a	ecoli	73
017afe18-d9bd-43d3-bbff-23dd548792d7	ecoli	1858
0240c711-0a61-4183-b31d-5309ad54e969	ecoli	131
004b50ed-f91a-4330-84aa-1f4e7d624b61	ecoli	144
018c6588-369f-4255-94ff-8bd39097e8d5	ecoli	38
025e1932-35ca-4f87-9511-88f10fdc2ba7	ecoli	10
01901f28-93c3-44ab-a176-539ae8cefcaa	ecoli	73
013cc60d-cf3b-4c62-885b-736339cac567	ecoli	131
02cb1371-8085-46c0-af8d-075dacbdd5a9	ecoli	10
0026627d-6f3f-4699-9ab6-da711832ac62	ecoli	10176
02745057-7b57-442c-88d1-c4eab6209542	ecoli	23
00077730-0fe4-454a-b554-b23c9f51a808	ecoli	550
0013e2ce-394b-4fc5-a356-abadd635fa00	ecoli	1724
007d12b9-f903-446a-9d66-184fb751cae9	ecoli	131
00a6bb9a-799b-43d6-823a-4651c0452a2f	ecoli	73
00c42c76-25b6-47ce-afb5-45d18a118d9d	ecoli	2619
01188b97-1bf2-4496-b1cc-c555c46d983e	ecoli	58
0152fff8-5a8e-4031-8634-81b08a4b5c85	ecoli	12
0197f047-b777-4d40-81dd-e8f03f3aad47	ecoli	95
01b94355-c95d-40e9-8853-27d8a5971e15	ecoli	12
01d34baf-18a8-4195-9931-68b6c4053b22	ecoli	409
01e2e374-6a95-44ed-9ff4-186e343197a1	ecoli	442
01ebf48a-dfae-4f34-8601-414bdd9d64d4	ecoli	746
02120408-3e82-44b1-b7ab-821a8cacb237	ecoli	567
024d720b-7bf8-4524-bdd6-e9033cb3e91e	ecoli	69
0262b07d-945e-41e5-81ed-6efc8ffca6b9	ecoli	73
02bd8907-b922-442a-ba82-dfe722f0ede5	ecoli	95
02c5f878-2e1c-4c6b-9083-da0c252f82f0	ecoli	95
03422e58-cdd3-4808-91a9-737289cd1d15	ecoli	95
03485d1b-abb5-46e2-925a-7ce11061405d	ecoli	131
034e77f6-e525-42a6-a3fe-c86854b0622f	ecoli	38
034e9bd8-d506-41a9-915e-0dc27757ede4	ecoli	69
03684e44-0db7-4f51-a5f1-11801e845e37	ecoli	5389
0376f914-d57d-42ee-bfe5-e92a95f03873	ecoli	73
03970aee-42a6-4a6b-9a30-ca460636e2e1	ecoli	38
03993adc-56f6-40ce-9485-b623a503d2ab	ecoli	95
03ce4471-c2a1-4b74-9e9c-a86d8f846c4b	ecoli	12
04007f45-f3e8-40b4-88a4-07803967c8ac	ecoli	73
0404accc-0e81-4ace-907f-bd965e5e7cf1	ecoli	95
040574aa-6068-475c-8d6d-3f1687eb77c7	ecoli	73
0423bff2-e91c-4e91-82b1-2943e681de2f	ecoli	-
04261a74-bb61-4851-9f19-5fd937fe84c0	ecoli	95
0427d9d9-0483-47be-884d-7ec408034770	ecoli	38
043f73be-81d4-462b-b6fa-decd9d675e45	ecoli	59
045cf886-9e90-49e2-9575-f1ad18c1e1fd	ecoli	95
0483d4c0-a16e-44e8-974c-f5e17c11d45a	ecoli	23
049eb92c-325c-4429-bfef-00e562c3661c	ecoli	5628
04a23b73-077a-4500-8542-539ecb50bad3	ecoli	73
05f5e204-6877-4519-9dc6-053c87ad96bc	cronobacter	-
06a6f7ac-e10b-4ce1-af6f-8635946e00c5	ecoli	88
07fa1fe6-4b98-4567-bac3-d4bc490c2ca6	ecoli	-
06e7f3a8-87f3-4994-8e49-9afee1cf7e04	ecoli	155
06803bb8-fae5-457b-9bed-9d48e9341680	ecoli	73
06dcfd16-9045-4ca3-8924-ef758e7c7ae5	ecoli	23
07354b68-6cf6-4d12-a755-824010c02314	ecoli	59
06844b98-e67c-4a60-86ab-d8f75b24ab1d	ecoli	95
06286bfb-e297-4bf6-bee4-75f8722feabe	ecoli	131
05f73ffb-6463-4bfa-bd93-11cbf1dfd3f0	ecoli	73
0713f105-20ad-4651-9b6b-e479382e57ac	ecoli	131
07754708-8b64-4e68-84cb-887e3f314fa0	ecoli	69
0662dae5-2b3b-4d83-8981-bae4a82d225b	ecoli	73
0513f9ac-3a30-418f-afb2-47c75c76a6dc	ecoli	88
05c6d3c5-a2e3-4d57-916a-896707c0e7a3	ecoli	12
0756600d-3aaa-4e6d-903e-ca1013923338	ecoli	2619
07f7ca5d-acf9-4824-acdb-b3a5077ee7ca	ecoli	73
05afd765-8069-453e-a218-aa73b10ae80e	ecoli	131
059c56ff-a9e7-4ce7-8cf9-502eebf41c7c	ecoli	144
051a523a-0619-4668-ab82-3037adb23ad0	ecoli	131
0843169b-3ae7-40f5-9086-b93a18d133be	ecoli	127
05b38397-9080-496b-86de-69d0a57fc9ab	ecoli	38
04b6c506-98f4-4dec-89a8-c78aa7b6d9fd	ecoli	131
